trait	cell_class	annotation_type	category	snp_fraction	h2_fraction	enrichment	coefficient	coefficient_se	coefficient_p	global_primary_fdr	status
AMD	MG	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MGL2_0	0.0015399	-0.025139	-16.325	-2.8101e-08	1.3134e-07	0.8305812569430397	0.8451120624302648	PASS
AMD	AC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ACL2_0	0.0020555	-0.046931	-22.832	-3.9302e-08	5.9394e-08	0.508152818091764	0.7253297092030584	PASS
AMD	BC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	BCL2_0	0.0019142	0.056215	29.367	5.055e-08	7.8861e-08	0.5215218673352102	0.7253297092030584	PASS
AMD	Cone	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ConeL2_0	0.001947	-0.076307	-39.192	-6.7462e-08	7.3547e-08	0.35900442678359845	0.6891817603726117	PASS
AMD	Rod	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RodL2_0	0.0012322	0.077827	63.159	1.0872e-07	1.183e-07	0.35808540303884084	0.6891817603726117	PASS
AMD	HC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	HCL2_0	0.0015837	-0.07203	-45.48	-7.8286e-08	1.0819e-07	0.4693129534363416	0.7253297092030584	PASS
AMD	RGC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RGCL2_0	0.0019155	-0.05699	-29.753	-5.1214e-08	8.8806e-08	0.5641453293801565	0.7253297092030584	PASS
AMD	Astrocyte	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	AstrocyteL2_0	0.0015193	0.045649	30.045	5.1717e-08	1.2508e-07	0.6792612881284661	0.7685917244497013	PASS
AMD	Microglia	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MicrogliaL2_0	0.0017067	0.020784	12.178	2.0962e-08	1.073e-07	0.8451120624302648	0.8451120624302648	PASS
POAG	MG	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MGL2_0	0.0015399	0.081206	52.735	1.0973e-07	1.2575e-07	0.38287875576256203	0.6891817603726117	PASS
POAG	AC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ACL2_0	0.0020555	-0.039356	-19.147	-3.9839e-08	5.529e-08	0.4711887582751503	0.7253297092030584	PASS
POAG	BC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	BCL2_0	0.0019142	-0.10248	-53.538	-1.114e-07	5.5677e-08	0.04541112355529464	0.33245309061661593	PASS
POAG	Cone	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ConeL2_0	0.001947	0.0086237	4.4293	9.2161e-09	4.2547e-08	0.8285123957524866	0.8451120624302648	PASS
POAG	Rod	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RodL2_0	0.0012322	-0.031754	-25.769	-5.3619e-08	6.0944e-08	0.3789634968190707	0.6891817603726117	PASS
POAG	HC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	HCL2_0	0.0015837	-0.086846	-54.836	-1.141e-07	4.5648e-08	0.012434698600331758	0.33245309061661593	PASS
POAG	RGC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RGCL2_0	0.0019155	-0.086811	-45.321	-9.4301e-08	5.5042e-08	0.08666557606674831	0.3585304139226035	PASS
POAG	Astrocyte	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	AstrocyteL2_0	0.0015193	0.12814	84.341	1.7549e-07	9.0216e-08	0.0517484624102069	0.33245309061661593	PASS
POAG	Microglia	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MicrogliaL2_0	0.0017067	-0.024873	-14.574	-3.0323e-08	6.4637e-08	0.6389784395660323	0.7685917244497013	PASS
RE	MG	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MGL2_0	0.0015399	0.10466	67.967	7.6043e-08	4.5263e-08	0.0929523295354898	0.3585304139226035	PASS
RE	AC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ACL2_0	0.0020555	0.14988	72.92	8.1584e-08	5.0519e-08	0.1063286356372451	0.3588591452757022	PASS
RE	BC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	BCL2_0	0.0019142	0.070719	36.944	4.1334e-08	3.1355e-08	0.18741707771613914	0.5622512331484174	PASS
RE	Cone	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	ConeL2_0	0.001947	0.018634	9.5709	1.0708e-08	2.6238e-08	0.68319264395529	0.7685917244497013	PASS
RE	Rod	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RodL2_0	0.0012322	0.061493	49.903	5.5833e-08	5.5433e-08	0.31383102507694927	0.6891817603726117	PASS
RE	HC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	HCL2_0	0.0015837	-0.083574	-52.77	-5.904e-08	2.7921e-08	0.03446939009098752	0.33245309061661593	PASS
RE	RGC	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	RGCL2_0	0.0019155	0.034539	18.032	2.0174e-08	3.3877e-08	0.5515044367583533	0.7253297092030584	PASS
RE	Astrocyte	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	AstrocyteL2_0	0.0015193	-0.053571	-35.259	-3.9449e-08	3.7049e-08	0.2869759158271078	0.6891817603726117	PASS
RE	Microglia	OFFICIAL_MAJOR_CLASS_OCR_SURROGATE	MicrogliaL2_0	0.0017067	-0.11235	-65.83	-7.3653e-08	3.9399e-08	0.06156538715122517	0.33245309061661593	PASS
