trait	broad_class	cap_cells_per_donor_class	n_donors	balanced_mean_delta	balanced_median_delta	primary_mean_delta	status
AMD	Muller glia	500	8	1.0919586535530756	1.0835861771265654	1.1001716136462685	PASS
AMD	RGC	500	1	-0.2569612433172167	-0.2569612433172167	-0.0502514051160671	NOT_ESTIMABLE
AMD	amacrine cells	500	8	-0.6558943231384762	-0.6811355083988186	-0.4884553648969135	PASS
AMD	astrocytes	500	4	0.6513517127454418	0.7463833613378217	0.7735109781717675	NOT_ESTIMABLE
AMD	bipolar cells	500	8	-0.27842567168886423	-0.20326452068623058	-0.10116559914704346	PASS
AMD	cones	500	8	-0.0637212088667441	-0.12992797015562638	0.08607076377307302	PASS
AMD	horizontal cells	500	7	-0.6339256605343968	-0.665630852380863	-0.48639920608893583	PASS
AMD	microglia	500	3	3.8173860187212383	3.957502980110783	3.8406239663243036	NOT_ESTIMABLE
AMD	rods	500	8	-0.14748905010232005	-0.18574084810070013	-0.07095093003523992	PASS
POAG	Muller glia	500	8	1.8341144569070125	1.8601076817148976	1.9826403899095328	PASS
POAG	RGC	500	1	0.233209691378001	0.233209691378001	0.48282173206041684	NOT_ESTIMABLE
POAG	amacrine cells	500	8	-0.3436353104257511	-0.3106990578155884	0.01958223571969203	PASS
POAG	astrocytes	500	4	2.2118641187688075	2.064569130986424	2.469970904582716	NOT_ESTIMABLE
POAG	bipolar cells	500	8	-0.42956956411900316	-0.4677536936897624	-0.0749816697046229	PASS
POAG	cones	500	8	-0.4081462453938081	-0.5773913617856372	-0.06163630398577116	PASS
POAG	horizontal cells	500	7	-0.7949749753429174	-0.6908282035998052	-0.44519075646065265	PASS
POAG	microglia	500	3	0.6423068523175015	0.7904578793690138	0.8503699175265274	NOT_ESTIMABLE
POAG	rods	500	8	-0.6782931253298963	-0.691585792689537	-0.5776935998032868	PASS
RE	Muller glia	500	8	1.509077381945827	1.4321914457641103	1.6182752299444467	PASS
RE	RGC	500	1	0.07870496417267249	0.07870496417267249	0.19039290224673072	NOT_ESTIMABLE
RE	amacrine cells	500	8	0.9875998697882536	1.0070140377875347	1.2530170936881706	PASS
RE	astrocytes	500	4	1.1189367816540607	1.1204536422241549	1.3566053604665491	NOT_ESTIMABLE
RE	bipolar cells	500	8	-0.8562323555419126	-0.8301107010811414	-0.5567323716572066	PASS
RE	cones	500	8	-0.9876371766038361	-0.9970120851511517	-0.6567004182981826	PASS
RE	horizontal cells	500	7	-0.9376834044821873	-0.83861298786056	-0.5668585625200872	PASS
RE	microglia	500	3	0.6561703325182421	0.7359369133673576	0.9035992487716542	NOT_ESTIMABLE
RE	rods	500	8	-1.0097770034614921	-0.9748571732884799	-0.9271711782008756	PASS
