trait	donor_id	broad_class	n_cells_class	n_cells_other	class_mean_norm_score	other_mean_norm_score	delta
AMD	17D013	Muller glia	135	7616	0.6847467625925927	0.0025306136724737274	0.682216148920119
AMD	19-D007	Muller glia	1526	18148	1.0422206139163173	-0.07335514480009396	1.1155757587164112
AMD	19-D009	Muller glia	767	8485	1.3003822629157757	-0.11925829441179257	1.4196405573275683
AMD	19-D010	Muller glia	2198	10656	0.5869143686503453	-0.0989034131615034	0.6858177818118487
AMD	D005-13	Muller glia	1438	11577	1.1894950503605703	-0.16668956872708388	1.3561846190876543
AMD	D009-13	Muller glia	1241	8860	0.7947064568716358	-0.1618106247384808	0.9565170816101165
AMD	D027-13	Muller glia	1571	12252	0.8452794883091789	-0.11089348153722577	0.9561729698464047
AMD	D030-13	Muller glia	658	11491	1.5197644252963525	-0.10948356655367245	1.629247991850025
AMD	D009-13	RGC	172	9929	-0.09368949842616278	-0.04343809331009568	-0.0502514051160671
AMD	17D013	amacrine cells	5260	2491	-0.26641954546849805	0.6074190188052428	-0.873838564273741
AMD	19-D007	amacrine cells	6687	12987	-0.2523151427021011	0.14987378518927735	-0.40218892789137844
AMD	19-D009	amacrine cells	478	8774	-0.41043148743556485	0.02070581474430592	-0.4311373021798708
AMD	19-D010	amacrine cells	1115	11739	-0.7456310031333632	0.09093633019321741	-0.8365673333265806
AMD	D005-13	amacrine cells	662	12353	-0.3596273094154079	0.0015220613695499045	-0.3611493707849578
AMD	D009-13	amacrine cells	2575	7526	-0.3658907190019534	0.06573972617921739	-0.4316304451811708
AMD	D027-13	amacrine cells	652	13171	-0.6362495546944785	0.029162694556254632	-0.6654122492507332
AMD	D030-13	amacrine cells	871	11278	0.06627982002743973	-0.02800145368568451	0.09428127371312425
AMD	19-D007	astrocytes	119	19555	0.3388651230546219	0.011191743255468923	0.327673379799153
AMD	D005-13	astrocytes	48	12967	0.8268070672916666	-0.019970540137653255	0.8467776074293198
AMD	D009-13	astrocytes	49	10052	0.9546426684285715	-0.04916324243516115	1.0038059108637327
AMD	D027-13	astrocytes	32	13791	0.9114436705937499	-0.004343344001114492	0.9157870145948643
AMD	17D013	bipolar cells	133	7618	0.07704435370676692	0.013319384042604349	0.06372496966416256
AMD	19-D007	bipolar cells	10117	9557	0.02819501119252199	-0.0027277847892173473	0.03092279598173934
AMD	19-D009	bipolar cells	1401	7851	-0.04773120373276232	0.006668957330523493	-0.054400161063285817
AMD	19-D010	bipolar cells	1835	11019	-0.42499609484492645	0.0922035434871512	-0.5171996383320776
AMD	D005-13	bipolar cells	1741	11274	-0.0420030841642734	-0.012962913358608295	-0.029040170805665108
AMD	D009-13	bipolar cells	1893	8208	-0.29815074442707346	0.014252916300586014	-0.31240366072765946
AMD	D027-13	bipolar cells	2370	11453	-0.16302540662512238	0.031051895052926742	-0.19407730167804912
AMD	D030-13	bipolar cells	2293	9856	0.14356405470381595	-0.05958431908067166	0.2031483737844876
AMD	17D013	cones	56	7695	0.9134962391964285	0.007869808613977933	0.9056264305824506
AMD	19-D007	cones	83	19591	0.06306947924096387	0.012962315462569282	0.05010716377839459
AMD	19-D009	cones	189	9063	-0.23716778878306877	0.0033445084025532515	-0.24051229718562203
AMD	19-D010	cones	183	12671	0.05805975092349726	0.017796391541747218	0.04026335938175004
AMD	D005-13	cones	209	12806	-0.18698063972105264	-0.014070927770830074	-0.17290971195022256
AMD	D009-13	cones	249	9852	0.033407875148594356	-0.04625761095384084	0.07966548610243519
AMD	D027-13	cones	232	13591	0.06917479056293105	-0.003442087489586493	0.07261687805251754
AMD	D030-13	cones	435	11714	-0.065875855754023	-0.019584657176903705	-0.04629119857711929
AMD	19-D007	horizontal cells	136	19538	-0.5382961101470588	0.01701237383479347	-0.5553084839818523
AMD	19-D009	horizontal cells	107	9145	-0.11768561449345794	-0.00021006797997374474	-0.11747554651348419
AMD	19-D010	horizontal cells	104	12750	-0.7193545825192308	0.024387128488351284	-0.7437417110075821
AMD	D005-13	horizontal cells	138	12877	-0.3726643683405797	-0.013034369177910217	-0.35962999916266947
AMD	D009-13	horizontal cells	53	10048	-0.8832457150188678	-0.03986857079112659	-0.8433771442277412
AMD	D027-13	horizontal cells	94	13729	-0.8054839807372339	0.00327646839019083	-0.8087604491274247
AMD	D030-13	horizontal cells	284	11865	0.001707438885211266	-0.021791452512991992	0.02349889139820326
AMD	19-D010	microglia	35	12819	2.463849885714286	0.011692664454675011	2.452157221259611
AMD	D005-13	microglia	41	12974	4.9965421170731705	-0.03269072618582934	5.029232843259
AMD	D009-13	microglia	97	10004	3.9573872735051547	-0.08309456094914433	4.040481834454299
AMD	17D013	rods	2167	5584	0.6272437814747855	-0.22341033448715975	0.8506541159619453
AMD	19-D007	rods	1006	18668	0.09779504745685884	0.008613545707231348	0.0891815017496275
AMD	19-D009	rods	6310	2942	-0.10957716130419334	0.2300878502385452	-0.33966501154273854
AMD	19-D010	rods	7384	5470	0.0724925281755363	-0.05469137411401844	0.12718390228955473
AMD	D005-13	rods	8738	4277	-0.20286138913798926	0.3631825025842413	-0.5660438917222306
AMD	D009-13	rods	3772	6329	-0.08035794674500531	-0.02280000743926052	-0.057557939305744786
AMD	D027-13	rods	8872	4951	-0.05939599494049256	0.10022791505790342	-0.15962390999839599
AMD	D030-13	rods	7608	4541	-0.2125166508068349	0.29921955690710195	-0.5117362077139369
POAG	17D013	Muller glia	135	7616	2.271734133925926	-0.015729275188495272	2.2874634091144213
POAG	19-D007	Muller glia	1526	18148	1.6180808574203474	-0.11796463259588659	1.7360454900162339
POAG	19-D009	Muller glia	767	8485	1.8485202115801826	-0.16934363969186167	2.017863851272044
POAG	19-D010	Muller glia	2198	10656	1.7181890285628723	-0.37721139399390763	2.09540042255678
POAG	D005-13	Muller glia	1438	11577	1.509445017676189	-0.19013824416268546	1.6995832618388746
POAG	D009-13	Muller glia	1241	8860	1.8985563966340049	-0.2997276266273457	2.1982840232613508
POAG	D027-13	Muller glia	1571	12252	1.5729864198300763	-0.21318043028006448	1.7861668501101406
POAG	D030-13	Muller glia	658	11491	1.9282912110197568	-0.11202460008666087	2.0403158111064177
POAG	D009-13	RGC	172	9929	0.44495185565116285	-0.03786987640925399	0.48282173206041684
POAG	17D013	amacrine cells	5260	2491	-0.03812904200247908	0.15553942560315534	-0.19366846760563441
POAG	19-D007	amacrine cells	6687	12987	-0.13407175193981008	0.09431793649763687	-0.22838968843744695
POAG	19-D009	amacrine cells	478	8774	0.27138710662552296	-0.01695792312177412	0.2883450297472971
POAG	19-D010	amacrine cells	1115	11739	-0.3556573339409148	0.013082272572300314	-0.36873960651321513
POAG	D005-13	amacrine cells	662	12353	0.19309661253957705	-0.012829148769873741	0.20592576130945078
POAG	D009-13	amacrine cells	2575	7526	-0.2714833220134369	0.053094774181386827	-0.3245780961948237
POAG	D027-13	amacrine cells	652	13171	0.17487173852346624	-0.019341078107630395	0.19421281663109663
POAG	D030-13	amacrine cells	871	11278	0.5401942036645235	-0.04335593315628834	0.5835501368208119
POAG	19-D007	astrocytes	119	19555	2.380938785134454	0.002303120462403505	2.3786356646720503
POAG	D005-13	astrocytes	48	12967	2.215560065625	-0.010564926382590448	2.2261249920075907
POAG	D009-13	astrocytes	49	10052	2.9370806548979584	-0.04411015079441733	2.9811908056923757
POAG	D027-13	astrocytes	32	13791	2.27844124984375	-0.015490906115096799	2.293932155958847
POAG	17D013	bipolar cells	133	7618	0.35864854269172936	0.018271159368130743	0.3403773833235986
POAG	19-D007	bipolar cells	10117	9557	-0.14323092583951666	0.1859826841887298	-0.32921361002824645
POAG	19-D009	bipolar cells	1401	7851	0.05216955976423983	-0.011738037668213758	0.06390759743245358
POAG	19-D010	bipolar cells	1835	11019	-0.23701008795874662	0.01741794915930785	-0.25442803711805445
POAG	D005-13	bipolar cells	1741	11274	-0.10789131927725445	0.013942723931936298	-0.12183404320919075
POAG	D009-13	bipolar cells	1893	8208	-0.3160761782462177	0.03641007818282252	-0.3524862564290402
POAG	D027-13	bipolar cells	2370	11453	-0.13085700727726163	0.014791420676574674	-0.1456484279538363
POAG	D030-13	bipolar cells	2293	9856	0.16030433183593545	-0.0391677045093973	0.19947203634533275
POAG	17D013	cones	56	7695	0.6241054078035714	0.0197452950496972	0.6043601127538741
POAG	19-D007	cones	83	19591	0.26711985742168676	0.015629538456806723	0.25149031896488006
POAG	19-D009	cones	189	9063	-0.2987252346201058	0.004125928372476425	-0.30285116299258225
POAG	19-D010	cones	183	12671	-0.46322579447540985	-0.012486371180560897	-0.45073942329484895
POAG	D005-13	cones	209	12806	-0.25525261077990435	0.001772550242070097	-0.2570251610219744
POAG	D009-13	cones	249	9852	-0.2820119273453815	-0.02327012929217244	-0.25874179805320907
POAG	D027-13	cones	232	13591	-0.3298126382142242	-0.004724334793068938	-0.32508830342115524
POAG	D030-13	cones	435	11714	0.23519518755783908	-0.010309797621007338	0.24550498517884642
POAG	19-D007	horizontal cells	136	19538	-0.6690871787279411	0.021464074745639296	-0.6905512534735804
POAG	19-D009	horizontal cells	107	9145	-0.11124273414392521	-0.0007832485456584223	-0.1104594855982668
POAG	19-D010	horizontal cells	104	12750	-0.45425788580288456	-0.015352337999559762	-0.4389055478033248
POAG	D005-13	horizontal cells	138	12877	-0.35421803200724644	0.0014159797440358815	-0.35563401175128234
POAG	D009-13	horizontal cells	53	10048	-0.9429589839811319	-0.024830957160079888	-0.918128026821052
POAG	D027-13	horizontal cells	94	13729	-0.48437245364042547	-0.006933786553725712	-0.47743866708669974
POAG	D030-13	horizontal cells	284	11865	-0.12381053783570423	0.0014077648546582282	-0.12521830269036247
POAG	19-D010	microglia	35	12819	0.20661555785714286	-0.019519203849199415	0.22613476170634228
POAG	D005-13	microglia	41	12974	1.2907706913365855	-0.006441353136877598	1.2972120444734632
POAG	D009-13	microglia	97	10004	0.9882449492216495	-0.03951799717812702	1.0277629463997766
POAG	17D013	rods	2167	5584	-0.0008701236352284251	0.03380650181983525	-0.03467662545506368
POAG	19-D007	rods	1006	18668	-0.009665882405815106	0.018110837463764223	-0.02777671986957933
POAG	19-D009	rods	6310	2942	-0.24902239795333533	0.5276225528831068	-0.7766449508364421
POAG	19-D010	rods	7384	5470	-0.41485801458060123	0.515598985383048	-0.9304569999636493
POAG	D005-13	rods	8738	4277	-0.2515747563213218	0.5068065708399954	-0.7583813271613171
POAG	D009-13	rods	3772	6329	-0.41206141240458455	0.198264712260169	-0.6103261246647536
POAG	D027-13	rods	8872	4951	-0.26675320957491433	0.44958786287827507	-0.7163410724531893
POAG	D030-13	rods	7608	4541	-0.28818472367635906	0.47876025434594144	-0.7669449780223005
RE	17D013	Muller glia	135	7616	0.867798763	0.01595942772291832	0.8518393352770817
