trait	broad_class	n_donors	n_cells	n_other_cells	mean_donor_delta	SE	CI95_lower	CI95_upper	median_donor_delta	donors_delta_gt_0	donors_delta_lt_0	donor_direction_fraction_positive	primary_t_p	sign_flip_p	normality_shapiro_p	parametric_test_status	bootstrap_median	bootstrap_CI95_lower	bootstrap_CI95_upper	bootstrap_fraction_gt_0	global_broad_FDR	within_trait_FDR	status	loo_positive_fraction	loo_n_estimable	leave_one_donor_stability
AMD	Muller glia	8	9534	89085	1.1001716136462685	0.12214674057340438	0.8113404686333842	1.389002758659153	1.036046420163264	8	0	1.0	4.244285477905855e-05	0.0078125	0.5686240095286392	PASS_FINITE_N_GE_5	1.100213531475617	0.8903539830823268	1.31859879498086	1.0	0.0002069388048756577	0.0003819856930115269	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL
AMD	RGC	1	172	9929	-0.0502514051160671				-0.0502514051160671	0	1	0.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS		0	UNSTABLE_OR_NOT_ESTIMABLE
AMD	amacrine cells	8	18300	80319	-0.4884553648969135	0.10944348084166489	-0.7472480738738445	-0.22966265591998242	-0.4313838736805208	1	7	0.125	0.0029251765933770856	0.015625	0.37063526806032465	PASS_FINITE_N_GE_5	-0.4925141310153014	-0.679582975540608	-0.2734344822019443	0.0	0.009872471002647664	0.013163294670196885	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE
AMD	astrocytes	4	248	56365	0.7735109781717675	0.1520464264759527	0.28963139000169646	1.2573905663418385	0.8812823110120921	4	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL
AMD	bipolar cells	8	21783	76836	-0.10116559914704346	0.08139089393089231	-0.2936244807948474	0.09129328250076049	-0.04172016593447546	3	5	0.375	0.25389924993119484	0.28125	0.7754849759674525	PASS_FINITE_N_GE_5	-0.09773878294711602	-0.25822286582152254	0.038531111800344284	0.0932	0.5273292113955586	0.5712733123451884	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE
AMD	cones	8	1636	96983	0.08607076377307302	0.12439369357236607	-0.2080735807933453	0.38021510833949135	0.045185261580072314	5	3	0.625	0.5112768659532131	0.734375	0.004761934148263982	PASS_FINITE_N_GE_5	0.07789126845580463	-0.09633772410270351	0.346753388733971	0.7328	0.9202983587157836	0.9202983587157835	PASS	0.875	8	POSITIVE_IN_ALL_OR_NEARLY_ALL
AMD	horizontal cells	7	916	89952	-0.48639920608893583	0.1304292219109971	-0.8055480149185716	-0.16725039725929997	-0.5553084839818523	1	6	0.14285714285714285	0.009745644354789543	0.03125	0.3581673564317271	PASS_FINITE_N_GE_5	-0.48787273340498544	-0.718370912777419	-0.2436620708484111	0.0002	0.02192769979827647	0.029236933064368628	PASS	0.0	7	UNSTABLE_OR_NOT_ESTIMABLE
AMD	microglia	3	173	35797	3.8406239663243036	0.7506190924754456	0.6109706791227869	7.07027725352582	4.040481834454299	3	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL
AMD	rods	8	45857	52762	-0.07095093003523992	0.1600175156263097	-0.4493322281648392	0.3074303680943593	-0.10859092465207039	3	5	0.375	0.6708606039661014	0.6640625	0.3304402141450587	PASS_FINITE_N_GE_5	-0.07514610572155797	-0.33173748247860324	0.23784836453294328	0.3094	1.0	1.0	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE
POAG	Muller glia	8	9534	89085	1.9826403899095328	0.07748657202701295	1.799413762521667	2.1658670172973986	2.029089831189231	8	0	1.0	3.558617639787802e-08	0.0078125	0.4615171786410538	PASS_FINITE_N_GE_5	1.9837553802160552	1.841855412629304	2.124302879616744	1.0	9.608267627427065e-07	3.2027558758090217e-07	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL
POAG	RGC	1	172	9929	0.48282173206041684				0.48282173206041684	1	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS		0	UNSTABLE_OR_NOT_ESTIMABLE
POAG	amacrine cells	8	18300	80319	0.01958223571969203	0.12186930258493929	-0.2685928726973546	0.30775734413673866	0.0002721745127311076	4	4	0.5	0.8768825047772371	0.8984375	0.32619237842011417	PASS_FINITE_N_GE_5	0.021046353804486297	-0.20494885013249978	0.2478030561789345	0.5662	1.0	1.0	PASS	0.5	8	UNSTABLE_OR_NOT_ESTIMABLE
POAG	astrocytes	4	248	56365	2.469970904582716	0.17323836743938548	1.918649102191766	3.0212927069736657	2.3362839103154487	4	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL
POAG	bipolar cells	8	21783	76836	-0.0749816697046229	0.08945976926600215	-0.2865204096529064	0.1365570702436606	-0.13374123558151352	3	5	0.375	0.42962742943985854	0.421875	0.4637540378049096	PASS_FINITE_N_GE_5	-0.07763281989085649	-0.22797409070157315	0.08936478702527481	0.1874	0.8285671853482987	0.9666617162396818	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE
POAG	cones	8	1636	96983	-0.06163630398577116	0.13309203740362907	-0.37634896332428647	0.2530763553527441	-0.2578834795375917	3	5	0.375	0.6573387486210526	0.640625	0.08988249949989055	PASS_FINITE_N_GE_5	-0.06758606574579215	-0.2946659525107976	0.20515843826175734	0.3026	1.0	1.0	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE
POAG	horizontal cells	7	916	89952	-0.44519075646065265	0.10991324199501035	-0.7141387708960084	-0.17624274202529688	-0.4389055478033248	0	7	0.0	0.006723212239809814	0.015625	0.666887412539688	PASS_FINITE_N_GE_5	-0.4430823540189247	-0.6447722456504793	-0.25114116677112774	0.0	0.02016963671942944	0.02016963671942944	PASS	0.0	7	UNSTABLE_OR_NOT_ESTIMABLE
POAG	microglia	3	173	35797	0.8503699175265274	0.3216638262920721	-0.5336378227135621	2.2343776577666166	1.0277629463997766	3	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL
