majorclass	cell_type	harmonized_broad_class	cells	donors	samples	readiness
AC	CL:0000561	amacrine cells	1653	8	8	STATE_READY
AC	CL:0004232	amacrine cells	968	8	8	STATE_READY
AC	CL:4030027	amacrine cells	10090	8	8	STATE_READY
AC	CL:4030028	amacrine cells	5589	8	8	STATE_READY
Astrocyte	CL:0000127	astrocytes	278	6	6	STATE_READY
BC	CL:0000748	bipolar cells	1999	8	8	STATE_READY
BC	CL:0000751	bipolar cells	4393	8	8	STATE_READY
BC	CL:4033019	bipolar cells	106	7	7	STATE_READY
BC	CL:4033027	bipolar cells	1688	8	8	STATE_READY
BC	CL:4033028	bipolar cells	2235	8	8	STATE_READY
BC	CL:4033029	bipolar cells	573	8	8	STATE_READY
BC	CL:4033030	bipolar cells	1364	8	8	STATE_READY
BC	CL:4033031	bipolar cells	1679	8	8	STATE_READY
BC	CL:4033032	bipolar cells	694	8	8	STATE_READY
BC	CL:4033033	bipolar cells	3465	8	8	STATE_READY
BC	CL:4033034	bipolar cells	1997	8	8	STATE_READY
BC	CL:4033035	bipolar cells	945	8	8	STATE_READY
BC	CL:4033036	bipolar cells	645	7	7	STATE_READY
Cone	CL:0000573	cones	1589	8	8	STATE_READY
Cone	CL:0003050	cones	47	8	8	STATE_READY
HC	CL:0004217	horizontal cells	561	8	8	STATE_READY
HC	CL:0004218	horizontal cells	380	8	8	STATE_READY
MG	CL:0000636	Muller glia	9534	8	8	STATE_READY
Microglia	CL:0000129	microglia	266	8	8	STATE_READY
RGC	CL:0000740	RGC	44	5	5	STATE_READY
RGC	CL:4033046	RGC	45	4	4	STATE_LIMITED
RGC	CL:4033047	RGC	140	6	6	STATE_READY
RGC	CL:4033051	RGC	8	3	3	STATE_LIMITED
RGC	CL:4033052	RGC	2	1	1	STATE_NOT_READY
Rod	CL:0000604	rods	45857	8	8	STATE_READY
