trait	broad_class	removed_donor	remaining_donors	leave_one_out_mean_delta	status
AMD	Muller glia	17D013	7	1.1598795371785755	PASS
AMD	Muller glia	19-D007	7	1.0979710214933909	PASS
AMD	Muller glia	19-D009	7	1.0545331931203683	PASS
AMD	Muller glia	19-D010	7	1.1593650181940427	PASS
AMD	Muller glia	D005-13	7	1.0635983271546419	PASS
AMD	Muller glia	D009-13	7	1.120693689651433	PASS
AMD	Muller glia	D027-13	7	1.1207428484748205	PASS
AMD	Muller glia	D030-13	7	1.0245892739028748	PASS
AMD	RGC	D009-13	0		NOT_ESTIMABLE
AMD	amacrine cells	17D013	7	-0.4334006221287953	PASS
AMD	amacrine cells	19-D007	7	-0.50077914161199	PASS
AMD	amacrine cells	19-D009	7	-0.49664365957077683	PASS
AMD	amacrine cells	19-D010	7	-0.4387250836926754	PASS
AMD	amacrine cells	D005-13	7	-0.5066419354843358	PASS
AMD	amacrine cells	D009-13	7	-0.496573210570591	PASS
AMD	amacrine cells	D027-13	7	-0.463175809989225	PASS
AMD	amacrine cells	D030-13	7	-0.5717034561269189	PASS
AMD	astrocytes	19-D007	3	0.922123510962639	NOT_ESTIMABLE
AMD	astrocytes	D005-13	3	0.74908876841925	NOT_ESTIMABLE
AMD	astrocytes	D009-13	3	0.6967460006077791	NOT_ESTIMABLE
AMD	astrocytes	D027-13	3	0.7260856326974019	NOT_ESTIMABLE
AMD	bipolar cells	17D013	7	-0.12472139469150145	PASS
AMD	bipolar cells	19-D007	7	-0.12003536987972672	PASS
AMD	bipolar cells	19-D009	7	-0.10784637601615168	PASS
AMD	bipolar cells	19-D010	7	-0.04173216497775286	PASS
AMD	bipolar cells	D005-13	7	-0.11146923176724036	PASS
AMD	bipolar cells	D009-13	7	-0.07098873320695545	PASS
AMD	bipolar cells	D027-13	7	-0.08789249878547122	PASS
AMD	bipolar cells	D030-13	7	-0.14463902385154787	PASS
AMD	cones	17D013	7	-0.03100861719969522	PASS
AMD	cones	19-D007	7	0.09120842091516994	PASS
AMD	cones	19-D009	7	0.13272548676717233	PASS
AMD	cones	19-D010	7	0.09261467868611915	PASS
AMD	cones	D005-13	7	0.12306797459068666	PASS
AMD	cones	D009-13	7	0.08698580344030701	PASS
AMD	cones	D027-13	7	0.0879927474474381	PASS
AMD	cones	D030-13	7	0.1049796155373862	PASS
AMD	horizontal cells	19-D007	6	-0.4749143264401165	PASS
AMD	horizontal cells	19-D009	6	-0.5478864826848445	PASS
AMD	horizontal cells	19-D010	6	-0.4435087886024947	PASS
AMD	horizontal cells	D005-13	6	-0.5075274072433135	PASS
AMD	horizontal cells	D009-13	6	-0.42690288306580165	PASS
AMD	horizontal cells	D027-13	6	-0.43267233224918766	PASS
AMD	horizontal cells	D030-13	6	-0.5713822223367924	PASS
AMD	microglia	19-D010	2	4.53485733885665	NOT_ESTIMABLE
AMD	microglia	D005-13	2	3.246319527856955	NOT_ESTIMABLE
AMD	microglia	D009-13	2	3.7406950322593056	NOT_ESTIMABLE
AMD	rods	17D013	7	-0.20260879374912352	PASS
AMD	rods	19-D007	7	-0.0938269917187924	PASS
AMD	rods	19-D009	7	-0.03256320410559726	PASS
AMD	rods	19-D010	7	-0.09925590608163914	PASS
AMD	rods	D005-13	7	-0.00022336407995553792	PASS
AMD	rods	D009-13	7	-0.07286421442516779	PASS
AMD	rods	D027-13	7	-0.05828336146907476	PASS
AMD	rods	D030-13	7	-0.007981604652568907	PASS
POAG	Muller glia	17D013	7	1.9390942443088346	PASS
POAG	Muller glia	19-D007	7	2.017868232751433	PASS
POAG	Muller glia	19-D009	7	1.9776084668577454	PASS
POAG	Muller glia	19-D010	7	1.9665318138170689	PASS
POAG	Muller glia	D005-13	7	2.0230771224910553	PASS
POAG	Muller glia	D009-13	7	1.9518341565735589	PASS
POAG	Muller glia	D027-13	7	2.0107080384523033	PASS
POAG	Muller glia	D030-13	7	1.9744010440242636	PASS
POAG	RGC	D009-13	0		NOT_ESTIMABLE
POAG	amacrine cells	17D013	7	0.050046621909024376	PASS
POAG	amacrine cells	19-D007	7	0.05500679631356902	PASS
POAG	amacrine cells	19-D009	7	-0.01881244914139443	PASS
POAG	amacrine cells	19-D010	7	0.07505678461010734	PASS
POAG	amacrine cells	D005-13	7	-0.007038267935987798	PASS
POAG	amacrine cells	D009-13	7	0.06874799742176571	PASS
POAG	amacrine cells	D027-13	7	-0.005364990124794348	PASS
POAG	amacrine cells	D030-13	7	-0.060984607294753676	PASS
POAG	astrocytes	19-D007	3	2.5004159845529377	NOT_ESTIMABLE
POAG	astrocytes	D005-13	3	2.5512528754410915	NOT_ESTIMABLE
POAG	astrocytes	D009-13	3	2.2995642708794963	NOT_ESTIMABLE
POAG	astrocytes	D027-13	3	2.528650487457339	NOT_ESTIMABLE
POAG	bipolar cells	17D013	7	-0.13431867728008315	PASS
POAG	bipolar cells	19-D007	7	-0.03866282108696238	PASS
POAG	bipolar cells	19-D009	7	-0.09482299358134813	PASS
POAG	bipolar cells	19-D010	7	-0.04934647435984696	PASS
POAG	bipolar cells	D005-13	7	-0.06828847348968466	PASS
POAG	bipolar cells	D009-13	7	-0.03533815731542043	PASS
POAG	bipolar cells	D027-13	7	-0.06488641852616384	PASS
POAG	bipolar cells	D030-13	7	-0.1141893419974737	PASS
POAG	cones	17D013	7	-0.15677864923429194	PASS
POAG	cones	19-D007	7	-0.10636867869300705	PASS
POAG	cones	19-D009	7	-0.027177038413369582	PASS
POAG	cones	19-D010	7	-0.0060501440844743315	PASS
POAG	cones	D005-13	7	-0.033723610123456406	PASS
POAG	cones	D009-13	7	-0.033478376261851454	PASS
POAG	cones	D027-13	7	-0.024000304066430576	PASS
POAG	cones	D030-13	7	-0.10551363100928797	PASS
POAG	horizontal cells	19-D007	6	-0.40429734029183134	PASS
POAG	horizontal cells	19-D009	6	-0.5009793016043836	PASS
POAG	horizontal cells	19-D010	6	-0.4462382912368739	PASS
POAG	horizontal cells	D005-13	6	-0.46011688057888106	PASS
POAG	horizontal cells	D009-13	6	-0.3663678780672528	PASS
POAG	horizontal cells	D027-13	6	-0.43981610468964477	PASS
POAG	horizontal cells	D030-13	6	-0.49851949875570106	PASS
POAG	microglia	19-D010	2	1.1624874954366198	NOT_ESTIMABLE
POAG	microglia	D005-13	2	0.6269488540530594	NOT_ESTIMABLE
POAG	microglia	D009-13	2	0.7616734030899027	NOT_ESTIMABLE
POAG	rods	17D013	7	-0.6552674532816045	PASS
POAG	rods	19-D007	7	-0.6562531540795309	PASS
POAG	rods	19-D009	7	-0.5492719782271218	PASS
POAG	rods	19-D010	7	-0.5272988283518065	PASS
POAG	rods	D005-13	7	-0.5518810673235682	PASS
POAG	rods	D009-13	7	-0.573031810537363	PASS
POAG	rods	D027-13	7	-0.557886817996158	PASS
POAG	rods	D030-13	7	-0.5506576886291421	PASS
RE	Muller glia	17D013	7	1.7277660720397847	PASS
RE	Muller glia	19-D007	7	1.6641009548841996	PASS
RE	Muller glia	19-D009	7	1.5102761417472998	PASS
RE	Muller glia	19-D010	7	1.6538531300440071	PASS
RE	Muller glia	D005-13	7	1.5937873216785081	PASS
RE	Muller glia	D009-13	7	1.6324448448162223	PASS
RE	Muller glia	D027-13	7	1.6426592802230595	PASS
RE	Muller glia	D030-13	7	1.521314094122492	PASS
RE	RGC	D009-13	0		NOT_ESTIMABLE
RE	amacrine cells	17D013	7	1.2279572221727655	PASS
RE	amacrine cells	19-D007	7	1.2741287765056828	PASS
RE	amacrine cells	19-D009	7	1.2286243968527975	PASS
RE	amacrine cells	19-D010	7	1.2675526924903229	PASS
RE	amacrine cells	D005-13	7	1.2488914695899376	PASS
RE	amacrine cells	D009-13	7	1.3005542007238928	PASS
RE	amacrine cells	D027-13	7	1.2398220040293795	PASS
RE	amacrine cells	D030-13	7	1.2366059871405866	PASS
RE	astrocytes	19-D007	3	1.5068003606730507	NOT_ESTIMABLE
RE	astrocytes	D005-13	3	1.2665189519081477	NOT_ESTIMABLE
RE	astrocytes	D009-13	3	1.3144559005419665	NOT_ESTIMABLE
RE	astrocytes	D027-13	3	1.3386462287430312	NOT_ESTIMABLE
RE	bipolar cells	17D013	7	-0.4691815804113824	PASS
RE	bipolar cells	19-D007	7	-0.4662892676208149	PASS
RE	bipolar cells	19-D009	7	-0.6078609112174391	PASS
RE	bipolar cells	19-D010	7	-0.572082208118463	PASS
RE	bipolar cells	D005-13	7	-0.5924425971617315	PASS
RE	bipolar cells	D009-13	7	-0.5306301146667594	PASS
RE	bipolar cells	D027-13	7	-0.6154028099532531	PASS
RE	bipolar cells	D030-13	7	-0.5999694841078087	PASS
RE	cones	17D013	7	-0.6663993464569354	PASS
RE	cones	19-D007	7	-0.6343301062905269	PASS
RE	cones	19-D009	7	-0.6322027005677883	PASS
RE	cones	19-D010	7	-0.6527662945216376	PASS
RE	cones	D005-13	7	-0.6892114163628184	PASS
RE	cones	D009-13	7	-0.6331093598232075	PASS
RE	cones	D027-13	7	-0.6615647283764898	PASS
RE	cones	D030-13	7	-0.6840193939860572	PASS
RE	horizontal cells	19-D007	6	-0.5450595931126874	PASS
RE	horizontal cells	19-D009	6	-0.6101239744277683	PASS
RE	horizontal cells	19-D010	6	-0.581167039310024	PASS
RE	horizontal cells	D005-13	6	-0.5275916818788058	PASS
RE	horizontal cells	D009-13	6	-0.44605650612273523	PASS
RE	horizontal cells	D027-13	6	-0.6144537680556913	PASS
RE	horizontal cells	D030-13	6	-0.6435573747328985	PASS
RE	microglia	19-D010	2	1.1107930253030462	NOT_ESTIMABLE
RE	microglia	D005-13	2	0.6597440284522924	NOT_ESTIMABLE
RE	microglia	D009-13	2	0.9402606925596237	NOT_ESTIMABLE
RE	rods	17D013	7	-0.845307789958231	PASS
RE	rods	19-D007	7	-0.9393975802775637	PASS
RE	rods	19-D009	7	-0.9248266807237228	PASS
RE	rods	19-D010	7	-0.9321207035741063	PASS
RE	rods	D005-13	7	-0.9318207937819317	PASS
RE	rods	D009-13	7	-0.9267493039787408	PASS
RE	rods	D027-13	7	-0.9498644353956786	PASS
RE	rods	D030-13	7	-0.9672821379170301	PASS
