GENE	Average	Muller_glia	RGC	amacrine_cells	astrocytes	bipolar_cells	cones	horizontal_cells	microglia	rods
1	1.2185647	-0.25463284	0.12165123	0.4774102	-0.41476831	-0.49024633	-0.82526897	0.87958398	0.60827697	-0.10200594
10	0.0044828426	0.02237923	-0.0044828426	0.0058729208	-0.0044828426	-0.0044828426	-0.0044828426	-0.0044828426	-0.0044828426	-0.0013550954
100	0.4326681	1.2519888	-0.24916461	-0.14435165	0.85016604	-0.29768121	-0.39699471	-0.267314	-0.4326681	-0.31398059
1000	4.9981215	1.0388878	-0.022676282	-0.015812269	1.2880623	0.35067854	1.7062593	-2.9546961	-2.7769488	1.3862456
10000	6.2921653	0.085037797	0.39046757	-0.054227181	0.2146421	0.077565479	-0.47866098	-0.079249058	0.010429505	-0.16600523
100008586	0.0019806036	-0.0019806036	-0.0019806036	-0.0019806036	-0.0019806036	0.0095946138	-0.0019806036	-0.0019806036	-0.0019806036	0.0042696114
10001	3.7794193	0.39510341	-0.5378768	0.29048514	0.16561132	0.30301998	0.30483605	0.23931434	-1.6269845	0.46649103
10002	2.6441979	-0.37186068	-1.6843293	0.11659311	-0.87477659	-0.20622281	-0.75669402	-0.66429434	0.11802608	4.3235585
10003	2.6900904	-1.714315	1.1100611	1.8907092	0.22584733	0.35103121	-1.7591201	3.3381906	-1.8160821	-1.6263223
100037417	0.44508061	-0.086289612	-0.44508061	-0.0026414645	0.91528483	-0.052021619	-0.13557426	0.13786388	-0.44508061	0.11353947
10004	0.61253278	0.25073184	-0.42902929	0.42709088	-0.61253278	0.33484642	-0.2482073	1.2642505	-0.61253278	-0.37461746
100049587	0.25226706	-0.25226706	-0.25226706	-0.25226706	-0.25226706	-0.24321922	-0.21659367	-0.25226706	1.9702875	-0.24913932
10005	2.912916	-0.35797107	-0.22530644	0.10338208	-0.21512342	0.13589037	0.56050778	0.050355102	-0.36940644	0.31767203
10006	4.0970896	0.9266213	-0.34303673	-0.48674269	0.67381681	-0.4705198	-0.6062192	-0.1210931	1.0129007	-0.58572724
10007	3.0420171	0.60065646	-0.45526348	0.19509314	0.26624908	-0.067335146	-0.52787417	0.33789637	-0.10255017	-0.24687208
10008	0.80112507	1.2590516	-0.80112507	-0.64607169	2.1217976	-0.63554102	-0.75198009	-0.67271061	0.74781494	-0.62123564
10009	0.83650124	-0.17649279	0.19766939	0.037152755	-0.83650124	-0.057389761	-0.26643945	0.40468406	0.73217857	-0.034861532
1001	1.8105836	0.19841215	0.62948223	1.1657578	-1.1512716	0.15408463	-0.30172067	1.2628154	-1.8105836	-0.14697629
10010	4.5160307	0.11808308	0.12570062	-0.37932708	0.43995254	-0.37435392	-0.43131091	-0.48904721	1.0608702	-0.070567326
100101267	4.2437192	-0.26504809	0.083409027	0.048777093	-0.27943032	0.10742238	0.38416832	0.11871362	-0.35556492	0.15755288
100101467	3.2540454	0.12852898	-0.35699439	0.27834664	0.19690931	0.38719463	-0.0029332879	-0.059810766	-0.54061779	-0.03062332
10011	3.1104822	0.52215303	-0.43667267	0.099237893	0.15545483	-0.0036863306	-0.25464298	-0.03925923	-0.0568851	0.014300563
100113407	3.3373461	-0.32946674	0.3382216	0.048586536	-0.37953699	-0.19576366	0.027587031	0.30588292	0.3654444	-0.1809551
100125288	1.0570561	-0.040221062	0.22898938	0.57140886	0.44076688	0.0022699379	-0.24635778	0.47198325	-1.0570561	-0.37178334
100127983	0.86542815	0.32963699	0.89828498	0.57019655	1.3736433	-0.60488997	-0.7123319	-0.22895286	-0.86542815	-0.76015893
100128071	1.1586093	-0.10537357	0.53355473	0.23075484	-0.25203443	-0.11793965	-0.25534111	0.2241098	-0.49418001	0.23644939
100128124	0.64428952	-0.39676479	-0.053354128	0.19893352	0.36567294	0.36707332	-0.51743439	0.48733354	0.032690394	-0.48415041
100128327	0.062503703	0.001172372	0.12099979	0.21179801	-0.062503703	-0.047749479	-0.062503703	-0.062503703	-0.062503703	-0.036205877
100128496	0.046114954	-0.032803669	-0.046114954	0.085859824	-0.046114954	0.048425424	0.0093919666	0.029238097	-0.046114954	-0.0017667796
100128553	0.0043570726	-0.0043570726	-0.0043570726	-0.0043570726	-0.0043570726	-0.0043570726	0.024189388	-0.0043570726	-0.0043570726	0.0063101201
100128569	1.501873	-0.078851803	-0.70955265	0.92649415	-0.095027613	0.25586443	0.3217834	0.17756916	-0.82489306	0.026613974
100128731	2.3625421	-0.059797583	-0.22807878	0.13696356	0.069012115	0.29302425	-0.3169662	0.48551398	-0.56577997	0.18610862
100128927	0.13202743	0.30333019	-0.13202743	-0.020898317	-0.13202743	-0.060353628	0.0040119792	0.12591017	-0.13202743	0.044081879
100129128	0.24002644	-0.1159728	0.35090895	0.11608047	-0.24002644	0.22983124	-0.188256	0.018830766	-0.24002644	0.068630253
100129239	0	0	0	0	0	0	0	0	0	0
100129271	0	0	0	0	0	0	0	0	0	0
100129361	2.4995446	-0.5059509	-0.27403654	-0.15983998	-0.12724533	0.053391495	0.44388614	0.2518563	0.051563883	0.26637492
100129385	1.3784255	0.47138385	-0.41855696	1.0584101	0.75778782	-0.39857394	-0.22375132	0.093391064	-1.3784255	0.038334966
100129480	2.5770868	0.10296575	-0.62511296	0.66820646	-0.10951231	0.54167934	0.069979105	-0.086919022	-1.0272476	0.46596121
100129543	1.9288177	0.25942102	-0.31371922	0.96424847	0.93117029	1.1817901	-1.4936407	-0.092256053	-0.042138532	-1.3948754
100129583	2.3935148	0.043520633	0.01081051	0.611206	0.6386454	0.92717746	0.16073288	-0.25380032	-2.3935148	0.25522221
100129654	0.52285282	0.18424798	-0.33934933	-0.0088582675	-0.14162672	0.16878896	0.560932	-0.091441523	-0.52285282	0.19015972
100129669	0.017527045	-0.017527045	-0.017527045	0.044635593	-0.017527045	0.023670918	-0.017527045	-0.017527045	-0.017527045	0.036855758
100129792	1.7780202	1.0524821	-1.1870848	0.67058401	0.32696967	0.8266923	-1.6211705	2.088221	-0.76534934	-1.3913445
100129842	2.8605025	0.3882807	0.047602651	0.99847038	0.24117654	0.37832192	-1.1421828	0.38022162	-1.1834023	-0.10848869
10013	3.5519935	0.010843376	0.28790447	0.096207409	0.10817208	-0.16809949	-0.05027176	0.23284263	-0.45360363	-0.063995092
100130086	0.004662893	-0.004662893	-0.004662893	-0.0014927179	-0.004662893	-0.004662893	0.031010501	-0.004662893	-0.004662893	-0.0015404252
100130274	0.040170358	-0.040170358	0.2983272	-0.027688905	-0.040170358	-0.029616143	-0.040170358	-0.040170358	-0.040170358	-0.040170358
100130301	0.14587938	0.13637181	0.44505601	0.083559451	-0.14587938	-0.11054024	-0.11020598	-0.018495084	-0.14587938	-0.13398722
100130311	0.20946158	-0.033865203	-0.025958089	0.1200722	-0.20946158	0.089829114	-0.023499159	0.29113294	-0.20946158	0.0012113577
100130348	0.052852643	0.016246252	-0.052852643	0.0029570542	-0.052852643	-0.018770041	0.083186761	0.075561811	-0.052852643	-0.00062390665
100130361	0	0	0	0	0	0	0	0	0	0
100130519	1.6620696	1.1286817	-1.4785661	-0.39680077	-0.18676501	-0.42432404	1.0418789	-0.46930859	-0.98508965	1.7702936
100130539	0.063757825	0.044216615	-0.063757825	0.25123578	-0.063757825	0.034013871	-0.063757825	-0.019973727	-0.063757825	-0.054461244
100130613	0	0	0	0	0	0	0	0	0	0
100130733	0.021160554	-0.0068205726	-0.021160554	0.0026354393	-0.021160554	0.030738593	0.0073859066	-0.021160554	-0.021160554	0.05070285
100130742	2.6840261	-0.091883553	-0.067403778	-0.48548316	0.61178463	-0.52712742	0.42957883	-1.0499586	1.1265784	0.053914689
100130827	0	0	0	0	0	0	0	0	0	0
100130890	4.1999929	0.51399229	-0.48441283	0.20309136	0.57970451	-0.066503446	-0.0061810343	-0.28386345	-0.48449041	0.028663011
100130933	0.0054179705	0.008922011	-0.0054179705	0.0086328877	-0.0054179705	0.011830456	-0.0054179705	-0.0054179705	-0.0054179705	-0.0022955027
100130958	2.0612443	-0.10283557	0.11977721	0.77891018	-0.65310936	-0.61301132	0.41391135	-0.85405841	-0.40314462	1.3135605
100130967	1.1246901	1.0021596	-0.42800132	-0.1797169	-0.3369907	-0.58500884	0.66238551	-0.49033871	-0.25068177	0.60619314
100131017	2.2662488	-0.22568306	0.69536516	0.1787064	-0.54485455	-0.066448345	-0.24715236	0.11166976	0.28363139	-0.18523441
100131094	1.0104815	-0.13492544	-0.050612883	-0.034697372	0.12349221	-0.10827111	-0.25181191	-0.12256494	0.14245553	0.43693592
100131137	0.76847933	1.0975986	-0.76847933	-0.19604005	-0.76847933	2.6471167	-0.59864886	-0.72469523	-0.76847933	0.080106902
100131187	1.5837529	0.40671782	-0.19215082	-0.52108308	-0.86073599	0.080318644	0.73140695	-0.35831097	0.34954526	0.36429219
100131244	0	0	0	0	0	0	0	0	0	0
100131378	0.35912543	-0.01533058	0.11353559	0.30870738	-0.0084750294	0.11150431	-0.11469503	0.12547538	-0.35912543	-0.16159659
100131390	0	0	0	0	0	0	0	0	0	0
100131439	0.094288422	-0.094288422	0.60240038	0.057618573	-0.094288422	-0.094288422	-0.094288422	-0.094288422	-0.094288422	-0.094288422
100131539	0.14477182	0.26540611	-0.14477182	0.16323567	-0.14477182	0.026460276	-0.14477182	0.026396565	-0.14477182	0.097588678
100131608	0	0	0	0	0	0	0	0	0	0
100131755	4.2865088	0.29836586	0.092449281	0.20665753	0.59054323	0.060465368	-0.48837328	-0.17166327	-0.28413891	-0.30430582
100131801	2.7513758	-0.2792549	-0.52586772	-0.1417761	0.016658269	0.30018557	-0.11961709	0.30697644	0.1103228	0.33237273
100131827	4.1540174	0.23439652	0.5516497	0.076296389	0.23761954	-0.19112133	-0.23625973	0.12380547	-0.7186634	-0.077723166
100131902	0	0	0	0	0	0	0	0	0	0
100131980	0.25689342	1.7610335	-0.25689342	-0.15998126	-0.25689342	-0.23903904	-0.2069704	-0.18154037	-0.25689342	-0.20282217
100132074	0.95827112	0.54238175	-0.77476763	0.1649826	0.19617566	0.53455013	0.44115221	-0.33768099	-0.48231404	-0.28447969
100132247	3.3463935	-0.17834551	0.39340496	-0.11839381	0.35437237	-0.21352314	-0.74893826	-0.42716717	0.89529735	0.043293201
100132386	0	0	0	0	0	0	0	0	0	0
100132396	0.0026588841	0.010652401	-0.0026588841	-0.0026588841	-0.0026588841	-0.0026588841	-0.0026588841	-0.0026588841	-0.0026588841	0.007959788
100132406	1.6717498	1.3149756	-0.87942949	-0.95418266	1.2577663	-0.69022392	0.4513346	-1.4995513	0.69233437	0.30697651
100132463	0.0018265591	0.011484726	-0.0018265591	-0.0018265591	-0.0018265591	-0.0018265591	-0.0018265591	-0.0018265591	-0.0018265591	0.0013011881
100132476	0	0	0	0	0	0	0	0	0	0
100132963	0.11737697	-0.079133795	0.066126521	0.28318427	-0.11737697	0.14834562	-0.053157115	-0.11737697	-0.11737697	-0.013234599
100132994	0	0	0	0	0	0	0	0	0	0
100133053	0	0	0	0	0	0	0	0	0	0
100133251	0	0	0	0	0	0	0	0	0	0
100134934	1.0122006	0.3413	-0.1326012	0.32499334	-0.22450118	0.19640022	-0.056003656	0.50643178	-1.0122006	0.056181302
100137047	1.2374271	0.14922972	0.37767142	0.40441561	-0.1340291	-0.15710153	0.44073174	-0.42084177	-0.76146999	0.1013939
100137049	1.9085327	0.40900709	0.5489356	0.34439392	-0.45589338	-0.024263809	-0.06604279	-0.026317482	-0.290121	-0.43969814
10014	3.9350844	-0.44657807	0.034568492	0.53264956	-0.94123438	0.56458679	0.44438628	0.34851389	-0.7908138	0.25392122
100141515	0.095828601	0.16824298	-0.095828601	0.064868435	-0.095828601	0.13925395	-0.011499598	-0.052044503	-0.095828601	-0.021335457
100142659	0	0	0	0	0	0	0	0	0	0
100144748	0.28654579	0.4054742	0.051951766	0.15111107	-0.28654579	0.22909756	-0.14624545	-0.0085550981	-0.28654579	-0.10974247
10015	4.7602518	-0.22788212	0.062192991	-0.2835944	0.3125617	-0.38329827	0.0012843395	-0.21249099	0.3658114	0.36541535
10016	3.8039981	-0.26203469	0.29729981	0.15582521	0.071986728	-0.32539508	-0.2647278	0.40142289	0.22385465	-0.29823172
100169851	0.0053476513	-0.0053476513	-0.0053476513	0.0084856964	-0.0053476513	0.022768724	-0.0053476513	-0.0053476513	-0.0053476513	0.00083148735
10017	0.1068234	0.098594329	-0.1068234	0.1831659	-0.1068234	0.16018578	-0.1068234	-0.031470345	-0.1068234	0.016817918
100170229	1.1579288	0.090577378	0.12811674	0.3533003	-0.77670266	0.42933168	0.39424427	0.032238577	-1.1579288	0.50682246
100170765	0.12255488	-0.063754225	0.06094861	-0.027507925	-0.12255488	0.080993163	0.087243654	0.030047991	-0.12255488	0.077138496
10018	1.8658475	0.72237161	-1.8658475	-0.82512719	0.79514589	0.66656816	0.11827247	-1.5774178	0.40113841	1.5648959
100188893	2.5358168	-0.10000254	-0.22686576	0.19003432	0.22533758	0.1848762	-0.59442544	0.73967491	-0.48983846	0.071209196
10019	3.1737737	-0.38089601	-0.22263491	-0.073512425	-0.23747618	-0.012722325	-0.64492055	-0.11813436	1.6140681	0.076228683
100190949	0.021786772	0.024188439	-0.021786772	0.097330719	-0.021786772	-0.0095288348	-0.021786772	-0.021786772	-0.021786772	-0.0030564616
100191040	0.080086054	0.16397662	-0.080086054	-0.01672094	0.1979999	-0.028254274	-0.080086054	-0.002836233	-0.080086054	-0.073906915
1002	3.2341333	1.980005	1.2968212	1.8301021	1.9966554	-1.5647302	-2.6201719	1.4981841	-2.569704	-1.8471617
10020	2.9981437	-0.01510401	0.34087993	0.34605015	0.58858632	-0.15251155	-0.39251826	0.11271581	-0.63550739	-0.192591
10021	0.53938983	-0.44564317	1.1891885	1.3968812	-0.53938983	-0.16200185	-0.13013277	-0.53938983	-0.53938983	-0.2301224
10022	0.031904163	-0.014698989	-0.031904163	0.036599156	-0.031904163	-0.014419408	0.059276152	-0.031904163	-0.031904163	0.060859742
10023	0.81447315	-0.37757358	-0.34181213	0.4975944	-0.81447315	0.70423929	-0.16038032	0.69326688	-0.33851607	0.13765468
10024	0.2677658	0.11597956	-0.08426231	0.0006151096	0.010320158	0.49823341	-0.16607234	-0.19241275	-0.2677658	0.085364973
10025	2.0273548	-0.20445154	-0.41225634	-0.2739223	0.24141853	-0.21455041	-0.18464638	0.10848523	0.60402353	0.3358997
10026	3.3731159	-0.25437774	0.70797687	0.36704564	-0.24863563	0.28992	-0.46426967	0.033987439	-0.39566904	-0.035977856
100271715	2.0726385	0.10673924	-0.092465771	0.35005485	-0.78688904	0.31589271	0.7137969	0.2080564	-1.5966814	0.7814961
100271846	0.012088475	0.015114406	-0.012088475	0.019984085	-0.012088475	0.020634549	-0.012088475	-0.012088475	-0.012088475	0.0047093357
100271849	2.2521214	0.66851016	-1.1487898	-0.53616506	0.38520912	0.01787284	0.1018566	-0.44991997	0.66973615	0.29168994
100271927	2.3624304	0.41688581	-0.27679926	0.72667554	-0.17738443	1.3941584	-1.59168	0.8656875	-0.60506041	-0.75248308
100272147	1.1219074	-0.12468084	-0.64924637	0.045158296	0.63558837	-0.0076937038	-0.50717111	0.60580505	0.031029608	-0.028789303
100287144	0	0	0	0	0	0	0	0	0	0
100287178	0	0	0	0	0	0	0	0	0	0
100287205	0	0	0	0	0	0	0	0	0	0
100287226	0.31587917	-0.22366376	-0.31587917	0.69509284	-0.31587917	0.54294834	-0.26410873	0.44860974	-0.31587917	-0.25124091
100287238	0	0	0	0	0	0	0	0	0	0
100287284	0.25641993	0.30366186	0.082077624	0.27240717	-0.25641993	0.06309309	-0.046836976	-0.18106688	-0.25641993	0.01950397
100287327	0	0	0	0	0	0	0	0	0	0
100287364	0	0	0	0	0	0	0	0	0	0
100287404	0	0	0	0	0	0	0	0	0	0
100287441	0	0	0	0	0	0	0	0	0	0
100287478	0	0	0	0	0	0	0	0	0	0
100287482	0.24939574	0.030516389	-0.24939574	0.64803864	-0.24939574	0.1524903	-0.20025076	0.28962417	-0.24939574	-0.17223152
100287513	0.0056923865	0.022011499	-0.0056923865	-0.0056923865	-0.0056923865	0.017835206	-0.0056923865	-0.0056923865	-0.0056923865	-0.0056923865
100287718	0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	-0.0021803153	0.017442523
100287898	1.4350066	0.25288654	0.05206612	-0.063262367	-0.45868771	-0.17863861	0.28122106	-0.29858522	-0.073639563	0.48663975
100287932	3.5209503	0.080921588	0.0063728119	0.11155173	0.1707967	-0.032153461	-0.084247617	-0.050662651	-0.10214405	-0.10043505
100288142	1.4526137	-0.10552121	-0.012137389	-0.16870253	-0.58025622	0.11665672	0.68171579	-0.7106827	0.21688753	0.56204001
100288287	0	0	0	0	0	0	0	0	0	0
100288323	0.0056799115	-0.0056799115	-0.0056799115	0.045439292	-0.0056799115	-0.0056799115	-0.0056799115	-0.0056799115	-0.0056799115	-0.0056799115
100288332	1.0580413	-0.12153034	0.92213137	0.57735235	0.096158024	-0.02134422	-0.39555264	-0.077935995	-1.0580413	0.078762799
100288413	0.19709194	0.13105598	-0.19709194	0.47392427	-0.19709194	0.31299508	-0.16141855	-0.069707648	-0.19709194	-0.09557332
100288485	0.0044336967	0.027148913	-0.0044336967	-0.001858598	-0.0044336967	-0.0044336967	-0.0044336967	-0.0044336967	-0.0044336967	0.0013118649
100288520	0.0015991779	0.012793423	-0.0015991779	-0.0015991779	-0.0015991779	-0.0015991779	-0.0015991779	-0.0015991779	-0.0015991779	-0.0015991779
100288797	0.11375585	-0.11375585	-0.11375585	-0.099704989	-0.11375585	-0.085953204	0.48305507	-0.11375585	-0.11375585	0.27138236
100288801	0.016789225	0.027278021	-0.016789225	0.045948834	-0.016789225	-0.016789225	0.011757236	-0.016789225	-0.016789225	-0.0010379672
100288814	0.23783389	-0.15395325	0.23482713	-0.10751002	-0.23783389	0.047681947	0.46281916	-0.23783389	-0.23783389	0.22963668
100289462	0	0	0	0	0	0	0	0	0	0
100289635	3.3553281	-0.24743714	0.4220397	0.22429051	-0.024683927	-0.0049375107	-0.13133858	0.18129991	-0.30850283	-0.11073013
