trait	gene	cell_spearman_rho	cell_P_descriptive	donor_spearman_rho	donor_P	marker_support	program_support	cell_FDR_descriptive	donor_FDR	candidate_support	analysis_note
AMD	BUB3	0.07823842967979049	2.0082437116241827e-14	0.9761904761904763	3.3143960262001043e-05	False	NONE	8.590262476472442e-13	0.028354658004141893	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	RRNAD1	0.06538362397275642	1.656665207342604e-10	0.9761904761904763	3.3143960262001043e-05	False	NONE	3.705299568317903e-09	0.028354658004141893	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	CDK2AP1	0.06479415773884536	2.4126811314511253e-10	0.9761904761904763	3.3143960262001043e-05	False	NONE	5.128071324115373e-09	0.028354658004141893	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	CCDC97	0.028834613344508066	0.004867238678764188	0.9761904761904763	3.3143960262001043e-05	False	NONE	0.018497526290828133	0.028354658004141893	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	POLDIP2	0.0629205854747135	7.797683536310434e-10	0.9523809523809524	0.00026040002438725105	False	NONE	1.4990827562502417e-08	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	EID2B	0.06084588804699857	2.750144135974109e-09	0.9523809523809524	0.00026040002438725105	False	NONE	4.705496616651701e-08	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	RPP30	0.058177049739178796	1.311150987611655e-08	0.9523809523809524	0.00026040002438725105	False	NONE	1.9941149687142594e-07	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	CREBRF	0.046305164373212346	6.091980190263551e-06	0.9523809523809524	0.00026040002438725105	False	NONE	5.372875312134503e-05	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	EFEMP2	0.04079277801411885	6.769847932801778e-05	0.9523809523809524	0.00026040002438725105	False	NONE	0.0004524691333212438	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	ACP1	0.03532378672406397	0.0005611752006380046	0.9523809523809524	0.00026040002438725105	False	NONE	0.002900818031092525	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	GPSM3	0.03511938518434691	0.0006041543481871021	0.9523809523809524	0.00026040002438725105	False	NONE	0.0030856957902929303	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	TIGD1	0.030962596138428663	0.002497991751933663	0.9523809523809524	0.00026040002438725105	False	NONE	0.010631999720294771	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	TCTA	0.029220927779079683	0.004324992540158544	0.9523809523809524	0.00026040002438725105	False	NONE	0.01674222225387165	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	GIN1	0.018658529097621782	0.0684884338835693	0.9523809523809524	0.00026040002438725105	False	NONE	0.16163270396522356	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	AC119674.1	0.015039677122440337	0.14199622178910232	0.9523809523809524	0.00026040002438725105	False	NONE	0.27925923618523457	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	ENPP3	-0.013805023083759327	0.17770973328002518	-0.9523809523809524	0.00026040002438725105	False	NONE	0.32800577523422125	0.055693055215823316	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	SRPK2	0.07504472405647167	2.185676978057512e-13	0.9285714285714287	0.0008629681828999769	False	NONE	7.873038546224007e-12	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	KCTD6	0.05881952745121044	9.057713779298568e-09	0.9285714285714287	0.0008629681828999769	False	NONE	1.4218117684752158e-07	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	TMEM91	0.05022217093313186	9.28311036616078e-07	0.9285714285714287	0.0008629681828999769	False	NONE	9.865466979193226e-06	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	RBM48	0.044947362311770406	1.1314085669780425e-05	0.9285714285714287	0.0008629681828999769	False	NONE	9.374528126389495e-05	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	TMEM158	0.042099064074780625	3.923664511475824e-05	0.9285714285714287	0.0008629681828999769	False	NONE	0.0002785638995491757	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	COPE	0.0336302519919339	0.0010226132290008885	0.9285714285714287	0.0008629681828999769	False	NONE	0.0049217756253741776	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	KLF10	-0.03344585229117026	0.001089965155131926	-0.9285714285714287	0.0008629681828999769	False	NONE	0.005202037323377198	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	C1orf131	0.03265227326921742	0.0014292791135985007	0.9285714285714287	0.0008629681828999769	False	NONE	0.006573915492922136	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	SAV1	0.030571939046301407	0.0028319116451395797	0.9285714285714287	0.0008629681828999769	False	NONE	0.01180365608972916	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	NKIRAS2	0.022840092541072627	0.02573712400027352	0.9285714285714287	0.0008629681828999769	False	NONE	0.07357764271423224	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	EID2	0.021766304970367262	0.03356299871780184	0.9285714285714287	0.0008629681828999769	False	NONE	0.09036395091449088	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	TAF5	0.0027512049039652322	0.7882382849031776	0.9285714285714287	0.0008629681828999769	False	NONE	0.8814873891956451	0.10546704006727577	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	ZSCAN21	0.07723757464895242	4.288188135830256e-14	0.9047619047619048	0.0020082755054294677	False	NONE	1.7679734699772452e-12	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	GIGYF1	0.059067186036237666	7.84601437409092e-09	0.9047619047619048	0.0020082755054294677	False	NONE	1.248793543634378e-07	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	GABPA	0.04809746548848095	2.621485697686415e-06	0.9047619047619048	0.0020082755054294677	False	NONE	2.5269645232346232e-05	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	ATM	0.04651960935705726	5.515955655251345e-06	0.9047619047619048	0.0020082755054294677	False	NONE	4.902753312277949e-05	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	PTPRC	0.0401021234932509	8.976124554985319e-05	0.9047619047619048	0.0020082755054294677	False	NONE	0.000582851958769635	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	PLEKHA3	0.03821816418872255	0.00018952842646778319	0.9047619047619048	0.0020082755054294677	False	NONE	0.001137835570829393	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
AMD	ZNF281	0.03772033776529678	0.00022966989261090348	0.9047619047619048	0.0020082755054294677	False	NONE	0.0013343469821978128	0.18085049419946417	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
