gene	hvg_candidate	excluded_disease_union	excluded_mitochondrial	excluded_ribosomal	excluded_technical	retained_for_state_discovery	reason	in_AMD_top1000	in_POAG_top1000	in_RE_top1000
MIR1302-2HG	False	False	False	False	False	False	not_HVG	False	False	False
FAM138A	True	False	False	False	False	True	HVG_retained	False	False	False
OR4F5	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.1	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.3	True	False	False	False	False	True	HVG_retained	False	False	False
AL627309.2	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.5	False	False	False	False	False	False	not_HVG	False	False	False
AL627309.4	False	False	False	False	False	False	not_HVG	False	False	False
AP006222.2	False	False	False	False	False	False	not_HVG	False	False	False
AL732372.1	False	False	False	False	False	False	not_HVG	False	False	False
OR4F29	False	False	False	False	False	False	not_HVG	False	False	False
AC114498.1	True	False	False	False	False	True	HVG_retained	False	False	False
OR4F16	False	False	False	False	False	False	not_HVG	False	False	False
AL669831.2	False	False	False	False	False	False	not_HVG	False	False	False
LINC01409	False	False	False	False	False	False	not_HVG	False	False	False
FAM87B	False	False	False	False	False	False	not_HVG	False	False	False
LINC01128	False	False	False	False	False	False	not_HVG	False	False	False
LINC00115	False	False	False	False	False	False	not_HVG	False	False	False
FAM41C	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.6	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.2	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.4	False	False	False	False	False	False	not_HVG	False	False	False
LINC02593	False	False	False	False	False	False	not_HVG	False	False	False
SAMD11	False	False	False	False	False	False	not_HVG	False	False	False
NOC2L	False	False	False	False	False	False	not_HVG	False	False	False
KLHL17	False	False	False	False	False	False	not_HVG	False	False	False
PLEKHN1	False	False	False	False	False	False	not_HVG	False	False	False
PERM1	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.7	False	False	False	False	False	False	not_HVG	False	False	False
HES4	True	False	False	False	False	True	HVG_retained	False	False	False
ISG15	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.1	False	False	False	False	False	False	not_HVG	False	False	False
AGRN	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.5	False	False	False	False	False	False	not_HVG	False	False	False
AL645608.8	False	False	False	False	False	False	not_HVG	False	False	False
RNF223	False	False	False	False	False	False	not_HVG	False	False	False
C1orf159	False	False	False	False	False	False	not_HVG	False	False	False
AL390719.3	False	False	False	False	False	False	not_HVG	False	False	False
LINC01342	True	False	False	False	False	True	HVG_retained	False	False	False
AL390719.2	False	False	False	False	False	False	not_HVG	False	False	False
TTLL10-AS1	False	False	False	False	False	False	not_HVG	False	False	False
TTLL10	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF18	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF4	False	False	False	False	False	False	not_HVG	False	False	False
SDF4	False	False	False	False	False	False	not_HVG	False	False	False
B3GALT6	False	False	False	False	False	False	not_HVG	False	False	False
C1QTNF12	False	False	False	False	False	False	not_HVG	False	False	False
AL162741.1	False	False	False	False	False	False	not_HVG	False	False	False
UBE2J2	False	True	False	False	False	False	not_HVG	False	True	False
LINC01786	False	False	False	False	False	False	not_HVG	False	False	False
SCNN1D	False	True	False	False	False	False	not_HVG	False	True	False
ACAP3	False	True	False	False	False	False	not_HVG	False	True	False
PUSL1	False	True	False	False	False	False	not_HVG	False	True	False
INTS11	False	False	False	False	False	False	not_HVG	False	False	False
AL139287.1	False	False	False	False	False	False	not_HVG	False	False	False
CPTP	False	False	False	False	False	False	not_HVG	False	False	False
TAS1R3	False	True	False	False	False	False	not_HVG	False	True	False
DVL1	False	True	False	False	False	False	not_HVG	False	True	False
MXRA8	False	True	False	False	False	False	not_HVG	False	True	False
AURKAIP1	False	True	False	False	False	False	not_HVG	False	True	False
CCNL2	False	True	False	False	False	False	not_HVG	False	True	False
MRPL20-AS1	False	False	False	False	False	False	not_HVG	False	False	False
MRPL20	False	True	False	False	False	False	not_HVG	False	True	False
AL391244.2	False	False	False	False	False	False	not_HVG	False	False	False
ANKRD65	False	True	False	False	False	False	not_HVG	False	True	False
AL391244.1	False	False	False	False	False	False	not_HVG	False	False	False
TMEM88B	False	True	False	False	False	False	not_HVG	False	True	False
LINC01770	False	False	False	False	False	False	not_HVG	False	False	False
VWA1	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3C	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3B	False	False	False	False	False	False	not_HVG	False	False	False
ATAD3A	False	False	False	False	False	False	not_HVG	False	False	False
TMEM240	False	False	False	False	False	False	not_HVG	False	False	False
SSU72	False	False	False	False	False	False	not_HVG	False	False	False
AL645728.1	False	False	False	False	False	False	not_HVG	False	False	False
FNDC10	False	False	False	False	False	False	not_HVG	False	False	False
AL691432.4	False	False	False	False	False	False	not_HVG	False	False	False
AL691432.2	False	False	False	False	False	False	not_HVG	False	False	False
MIB2	False	False	False	False	False	False	not_HVG	False	False	False
MMP23B	False	False	False	False	False	False	not_HVG	False	False	False
CDK11B	False	False	False	False	False	False	not_HVG	False	False	False
FO704657.1	False	False	False	False	False	False	not_HVG	False	False	False
SLC35E2B	False	False	False	False	False	False	not_HVG	False	False	False
CDK11A	False	False	False	False	False	False	not_HVG	False	False	False
SLC35E2A	False	False	False	False	False	False	not_HVG	False	False	False
NADK	False	False	False	False	False	False	not_HVG	False	False	False
GNB1	False	False	False	False	False	False	not_HVG	False	False	False
AL109917.1	False	False	False	False	False	False	not_HVG	False	False	False
CALML6	False	False	False	False	False	False	not_HVG	False	False	False
TMEM52	False	False	False	False	False	False	not_HVG	False	False	False
CFAP74	False	False	False	False	False	False	not_HVG	False	False	False
AL391845.2	False	False	False	False	False	False	not_HVG	False	False	False
GABRD	False	False	False	False	False	False	not_HVG	False	False	False
AL391845.1	False	False	False	False	False	False	not_HVG	False	False	False
PRKCZ	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.2	False	False	False	False	False	False	not_HVG	False	False	False
PRKCZ-AS1	False	False	False	False	False	False	not_HVG	False	False	False
FAAP20	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.1	False	False	False	False	False	False	not_HVG	False	False	False
SKI	False	False	False	False	False	False	not_HVG	False	False	False
AL590822.3	False	False	False	False	False	False	not_HVG	False	False	False
MORN1	False	False	False	False	False	False	not_HVG	False	False	False
AL589739.1	False	False	False	False	False	False	not_HVG	False	False	False
AL513477.2	False	False	False	False	False	False	not_HVG	False	False	False
RER1	False	False	False	False	False	False	not_HVG	False	False	False
PEX10	False	False	False	False	False	False	not_HVG	False	False	False
PLCH2	False	False	False	False	False	False	not_HVG	False	False	False
AL139246.1	False	False	False	False	False	False	not_HVG	False	False	False
AL139246.4	False	False	False	False	False	False	not_HVG	False	False	False
PANK4	False	False	False	False	False	False	not_HVG	False	False	False
HES5	True	False	False	False	False	True	HVG_retained	False	False	False
AL139246.5	True	False	False	False	False	True	HVG_retained	False	False	False
TNFRSF14-AS1	False	False	False	False	False	False	not_HVG	False	False	False
