GENE	AMD	POAG	RE
A1BG	-0.27832	0.96799	1.6194
NAT2	-0.45836	-1.3919	-1.0899
ADA	0.25485	-0.45979	-0.17763
CDH2	-1.5544	0.35352	5.1821
AKT3	-0.31281	0.02723	2.9795
MED6	-1.6153	-0.7573	1.2887
NR2E3	-0.70352	0.10816	0.30098
NAALAD2	-0.080812	1.0035	2.0216
DDTL	0.76887	-0.072209	-1.883
NAALADL1	0.31288	1.7357	0.39754
SIGLEC14	-0.44533	0.8856	1.1748
ACOT8	1.2867	-0.52321	2.9736
ABI1	0.75146	0.7403	1.4477
GNPDA1	-0.86801	1.4508	-0.77695
KCNE3	-0.54478	0.46736	0.27907
CDH3	2.1504	1.5251	0.8423
TANK	-0.70529	-0.47298	3.1472
POM121C	-1.2416	-0.27499	2.0284
ZSCAN30	-1.7897	0.097921	1.1903
SRA1	0.51709	-0.34101	3.0983
TMEM170B	-0.13473	0.60123	0.46587
ZGLP1	0.73008	0.42826	2.5363
KIAA1024L	1.6229	2.601	1.7923
C10orf131	0.1747	3.043	-0.39602
C8orf88	-1.6062	-1.7962	2.155
FAM229A	0.32594	-0.69014	-1.2673
LOC100128108	1.2206	-1.2491	-2.1134
HGC6.3	1.9578	0.2865	0.66448
TRAPPC3L	0.029525	0.37563	3.61
C20orf78	-1.5173	0.29446	2.8743
CTAGE4	0.19173	-0.49592	0.34265
C19orf71	-0.032195	-0.22113	0.23802
OST4	-0.21987	0.46903	3.3958
LOC100128905	0.63502	0.2341	2.2777
ZBTB42	-0.63428	0.822	1.4845
LOC100129083	-2.4138	0.060914	-0.35278
BTNL10	1.5056	-1.0039	1.5543
LOC100129098	-0.49794	1.6093	1.503
KHDC1L	-0.022133	0.98164	1.7866
LOC100129216	1.1361	-0.53928	-0.048848
C1orf68	2.213	0.14433	-0.61146
LOC100129307	-0.45417	-0.14216	-0.30137
SMIM10L1	0.87146	0.60101	0.46493
C9orf92	-0.1335	-0.23864	0.68821
MKRN2OS	0.80436	-1.2703	1.8682
MUC8	-0.41235	0.84831	1.299
ZNF730	-0.94979	0.34347	0.09826
FAM47E	-0.84012	1.4336	1.3882
TCF24	-1.6417	0.91798	1.2672
IZUMO3	0.18573	-0.4256	2.3766
LOC100129697	-1.0174	1.2944	0.12815
CCDC152	1.2233	0.71096	1.0157
ZNF737	0.92351	-1.1158	1.5192
LOC100129924	-0.40714	1.3221	1.5746
LOC100129940	-0.065197	1.5608	1.8948
KIF28P	0.30792	0.68719	1.0411
CCDC166	-0.23926	0.35458	-1.6453
C8orf89	1.4361	0.9917	4.4122
C17orf107	-0.082287	-0.24267	1.4417
TMEM262	-0.48937	1.4596	-0.3635
LOC100130357	-0.51679	-0.38628	0.79545
LOC100130370	0.56877	0.75224	2.5878
LOC100130451	0.33537	-1.1731	0.57867
TMEM221	1.399	0.95535	1.7591
LOC100130520	-0.69867	-0.53885	0.42887
C10orf142	-0.2712	-0.56119	-0.50169
LOC100130705	-0.15662	-0.052412	-2.491
LRRC70	-0.65814	1.0933	2.2819
LRRC69	-0.0011758	-0.20967	2.8271
SBK3	-0.80689	0.12354	0.53163
LOC100130880	-0.35646	0.89511	3.9766
TSTD3	0.914	0.67461	3.3598
SMIM6	-1.1171	-0.31302	0.24128
SYCE1L	-0.84796	1.8482	-0.97823
C6orf99	-0.091871	-0.077273	1.1682
C7orf72	-1.9275	-0.20132	1.4805
ZNF316	0.029818	0.57058	1.5455
DPP9-AS1	0.061273	1.1156	2.2994
LOC100131107	-0.60464	0.13749	2.4811
BSPH1	-0.40429	-1.7314	3.4053
TSTD1	0.096561	-0.66872	-0.28325
TMEM194B	-1.4119	0.4327	0.44769
ANKRD63	0.16838	-0.82446	-1.6514
C11orf91	2.1428	-1.1505	-0.92764
SP9	-0.7052	1.1425	2.0251
CD300LD	-0.34017	-0.6684	0.41955
ZNF705E	0.22876	-0.18847	1.0372
