trait	cell_class	official_regulon_or_TF	MG_RSS_rank	MG_RSS	target_genes	gene_set_size	effect	FDR	status	notes
AMD	MG	ARID3B_extended_+_-_(50r)	1	0.55638781	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ARID3B_extended_+_-_(50r)	1	0.55638781	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ARID3B_extended_+_-_(50r)	1	0.55638781	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZFHX3_extended_-_+_(39r)	2	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZFHX3_extended_-_+_(39r)	2	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZFHX3_extended_-_+_(39r)	2	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZFHX3_-_+_(39r)	3	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZFHX3_-_+_(39r)	3	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZFHX3_-_+_(39r)	3	0.53935803	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	HMX1_-_-_(11r)	4	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	HMX1_-_-_(11r)	4	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	HMX1_-_-_(11r)	4	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	HMX1_extended_-_-_(11r)	5	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	HMX1_extended_-_-_(11r)	5	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	HMX1_extended_-_-_(11r)	5	0.53342315	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	HES5_extended_+_+_(63r)	6	0.51832983	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	HES5_extended_+_+_(63r)	6	0.51832983	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	HES5_extended_+_+_(63r)	6	0.51832983	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	POU6F2_+_-_(721r)	7	0.50487117	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	POU6F2_+_-_(721r)	7	0.50487117	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	POU6F2_+_-_(721r)	7	0.50487117	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZKSCAN1_+_-_(9r)	8	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZKSCAN1_+_-_(9r)	8	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZKSCAN1_+_-_(9r)	8	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZKSCAN1_extended_+_-_(9r)	9	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZKSCAN1_extended_+_-_(9r)	9	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZKSCAN1_extended_+_-_(9r)	9	0.50309217	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	POU6F2_extended_+_-_(769r)	10	0.5030594	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	POU6F2_extended_+_-_(769r)	10	0.5030594	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	POU6F2_extended_+_-_(769r)	10	0.5030594	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZFHX3_+_+_(52r)	11	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZFHX3_+_+_(52r)	11	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZFHX3_+_+_(52r)	11	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	ZFHX3_extended_+_+_(52r)	12	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	ZFHX3_extended_+_+_(52r)	12	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	ZFHX3_extended_+_+_(52r)	12	0.49913989	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	LHX4_+_-_(67r)	13	0.49866313	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
POAG	MG	LHX4_+_-_(67r)	13	0.49866313	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
RE	MG	LHX4_+_-_(67r)	13	0.49866313	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
AMD	MG	LHX2_+_+_(779r)	14	0.49828395	NA	NA	NA	NA	OFFICIAL_RSS_ONLY_TARGET_GENE_MATRIX_UNAVAILABLE	Table S13B; no target-gene edge matrix in downloaded official workbook
