rank	official_regulon_or_TF	MG_RSS
1	ARID3B_extended_+_-_(50r)	0.55638781
2	ZFHX3_extended_-_+_(39r)	0.53935803
3	ZFHX3_-_+_(39r)	0.53935803
4	HMX1_-_-_(11r)	0.53342315
5	HMX1_extended_-_-_(11r)	0.53342315
6	HES5_extended_+_+_(63r)	0.51832983
7	POU6F2_+_-_(721r)	0.50487117
8	ZKSCAN1_+_-_(9r)	0.50309217
9	ZKSCAN1_extended_+_-_(9r)	0.50309217
10	POU6F2_extended_+_-_(769r)	0.5030594
11	ZFHX3_+_+_(52r)	0.49913989
12	ZFHX3_extended_+_+_(52r)	0.49913989
13	LHX4_+_-_(67r)	0.49866313
14	LHX2_+_+_(779r)	0.49828395
15	EPAS1_+_+_(99r)	0.49767442
16	EPAS1_extended_+_+_(99r)	0.49767442
17	LHX2_extended_+_+_(807r)	0.49714928
18	VAX2_extended_-_+_(19r)	0.49686119
19	VAX2_-_+_(19r)	0.49686119
20	NR2E1_extended_+_+_(576r)	0.48699744
