priority_rank	chr	start	end	region_id	trait_pair	h2_trait1	h2_trait2	local_covariance	local_rg	rg_lower	rg_upper	p	pair_fdr	global_fdr	direction	noukbb_stable	lava_support	global_leaveout_effect	warnings	phase2b_priority
1	9	21674147	23083305	chr9.29	AMD-POAG	0.0010352482999765	0.0045225826981388	-0.0015672068180094	-0.724372437243724	-0.957795779577958	-0.314931493149315	0.0012401597536204	0.1326970936373828	0.1500593301880684	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
2	2	53852235	54684557	chr2.61	AMD-POAG	0.0005320130749789	0.0003176100188756	-0.0004110628696271	-1.0	-1.0	-0.550755075507551	0.0031900341796899	0.1699211935116868	0.1921538730365804	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
3	3	71224429	72332608	chr3.63	AMD-POAG	0.0009793471408597	0.0002883099171189	-0.0005313713325086	-1.0	-1.0	-0.357535753575358	0.0072343514488585	0.1699211935116868	0.1921538730365804	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
4	8	124001089	125450473	chr8.119	AMD-POAG	0.0003304894321458	0.0005598390964196	-0.0004301405643144	-1.0	-1.0	-0.373137313731373	0.0074948106456719	0.1699211935116868	0.1921538730365804	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
5	9	77877793	78630894	chr9.51	AMD-POAG	0.0006986925298288	0.0009398394416897	-0.0006500240210953	-0.802180218021802	-1.0	-0.234323432343234	0.007940242687462	0.1699211935116868	0.1921538730365804	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
6	13	21547317	22794240	chr13.4	AMD-POAG	0.001588687786922	0.0016057223148414	-0.0009131883153174	-0.571757175717572	-0.898789878987899	-0.131713171317132	0.0119077982126708	0.1900515116889386	0.2149180646202016	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
7	14	60100967	61652619	chr14.39	AMD-POAG	0.0021585836671708	0.0038943777933021	-0.0022973546304605	-0.792379237923792	-1.0	-0.193119311931193	0.0124332764656315	0.1900515116889386	0.2149180646202016	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
8	7	116837610	118338267	chr7.106	AMD-POAG	0.0008141073376378	0.0010522242183759	-0.0008276696912024	-0.894189418941894	-1.0	-0.15971597159716	0.020630957833271	0.2759390610199996	0.3120432372282238	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
9	11	32830564	33905285	chr11.36	AMD-POAG	0.0006777676048993	0.0003631207391162	0.0003986177798729	0.803580358035804	0.0883088308830883	1.0	0.0303252469964389	0.3605334920687736	0.4077060985076785	POSITIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
10	9	128785910	129617253	chr9.100	AMD-POAG	6.40275215661706e-05	0.0021994853974298	-0.0003752700343997	-1.0	-1.0	-0.11011101110111	0.0349011270703187	0.3699164470773141	0.4183167298724766	NEGATIVE_LOCAL_SHARING	True	NO_ELIGIBLE_TARGET	NOT_RUN_NO_GLOBAL_OR_PAIR_FDR_TARGET		TIER3
