trait_pair	chr	region	start	end	n_snps	eigen_cut	h2_trait1	h2_trait2	local_covariance	local_rg	rg_lower	rg_upper	p	AMD	POAG	RE	bivariate_interpretable	pair_fdr	global_fdr	direction	warning
AMD-POAG	1	1	754182	1366830	125	0.99	0.0002321996579354	0.0001337644167009	0.0001228669514232	0.697169716971697	-0.480748074807481	1.0	0.260254501194831	0.116965232440695	0.0845493569241901	0.999999619538993	False			POSITIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	1	754182	1366830	125	0.99	0.0002321996579354	0.0						0.116965232440695	0.0845493569241901	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	1	754182	1366830	125	0.99	0.0001337644167009	0.0						0.116965232440695	0.0845493569241901	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	2	1421531	2211849	201	0.99	0.0001049793121564	0.0001364178271867	-3.64453933899169e-05	-0.304530453045305	-1.0	1.0	0.730682232564669	0.422979923660217	0.0	0.999999730973442	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	2	1421531	2211849	201	0.99	0.0001049793121564	0.0						0.422979923660217	0.0	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	2	1421531	2211849	201	0.99	0.0001364178271867	0.0						0.422979923660217	0.0	0.999999730973442	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	3	2220649	2981841	246	0.99	2.10205309682897e-05	0.0						0.0	0.0	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	3	2220649	2981841	246	0.99	2.10205309682897e-05	0.0						0.0	0.0	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	3	2220649	2981841	246	0.99	0.0	0.0						0.0	0.0	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	4	2984087	3580574	228	0.99	0.0	0.00030087895175						0.999999461946885	0.248666842426749	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	4	2984087	3580574	228	0.99	0.0	0.0						0.999999461946885	0.248666842426749	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	4	2984087	3580574	228	0.99	0.00030087895175	0.0						0.999999461946885	0.248666842426749	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	5	3586250	4281458	254	0.99	0.0005642788170155	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	5	3586250	4281458	254	0.99	0.0005642788170155	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	5	3586250	4281458	254	0.99	0.0	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	6	4282786	4773266	374	0.99	2.3436412887364e-05	0.0						0.950269080793877	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	6	4282786	4773266	374	0.99	2.3436412887364e-05	0.0						0.950269080793877	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	6	4282786	4773266	374	0.99	0.0	0.0						0.950269080793877	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	7	4774438	5362345	395	0.99	0.0	0.0						0.999994142877253	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	7	4774438	5362345	395	0.99	0.0	0.0						0.999994142877253	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	7	4774438	5362345	395	0.99	0.0	0.0						0.999994142877253	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	8	5364634	6129835	349	0.99	0.000335937664751	0.0						0.169319782712437	0.999999461946885	0.999999149263327	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	8	5364634	6129835	349	0.99	0.000335937664751	0.0						0.169319782712437	0.999999461946885	0.999999149263327	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	8	5364634	6129835	349	0.99	0.0	0.0						0.169319782712437	0.999999461946885	0.999999149263327	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	9	6139744	7711758	642	0.99	0.0002583617820624	0.0						0.160078805422383	0.999999239077987	0.999998923893769	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	9	6139744	7711758	642	0.99	0.0002583617820624	0.0						0.160078805422383	0.999999239077987	0.999998923893769	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	9	6139744	7711758	642	0.99	0.0	0.0						0.160078805422383	0.999999239077987	0.999998923893769	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	10	7712132	8580960	289	0.99	0.0006963681936631	0.0007402731098395	0.0001916581884705	0.266926692669267	-0.438543854385439	0.805580558055806	0.468138209483008	0.0	0.0	0.0	True	0.782668568979404	0.8092103335349138	POSITIVE_LOCAL_SHARING	
AMD-RE	1	10	7712132	8580960	289	0.99	0.0006963681936631	0.0						0.0	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	10	7712132	8580960	289	0.99	0.0007402731098395	0.0						0.0	0.0	0.0	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	11	8581015	9466803	333	0.99	0.0007640505197251	0.0						0.0433419557339405	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	11	8581015	9466803	333	0.99	0.0007640505197251	0.0						0.0433419557339405	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	11	8581015	9466803	333	0.99	0.0	0.0						0.0433419557339405	0.0	0.999999068064667	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	12	9483388	10750432	349	0.99	5.72031412857644e-05	1.40122674832761e-05	-2.83115827282716e-05	-1.0	-1.0	1.0	0.622279703045249	0.0	0.0	0.999999461946885	True	0.8452311518928525	0.8602399293563704	NEGATIVE_LOCAL_SHARING	
AMD-RE	1	12	9483388	10750432	349	0.99	5.72031412857644e-05	0.0						0.0	0.0	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	12	9483388	10750432	349	0.99	1.40122674832761e-05	0.0						0.0	0.0	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	13	10757199	11706791	288	0.99	7.76427692432824e-05	7.76820822653507e-05	-3.56108107387337e-05	-0.458545854585459	-1.0	1.0	0.741413610104713	0.515382094539355	0.479281674027155	0.999999149263327	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	13	10757199	11706791	288	0.99	7.76427692432824e-05	0.0						0.515382094539355	0.479281674027155	0.999999149263327	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	13	10757199	11706791	288	0.99	7.76820822653507e-05	0.0						0.515382094539355	0.479281674027155	0.999999149263327	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	14	11710561	12868019	435	0.99	0.0008855162512202	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	14	11710561	12868019	435	0.99	0.0008855162512202	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	14	11710561	12868019	435	0.99	0.0	0.0						0.0	0.0	0.999999239077987	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	15	13782197	14719847	522	0.99	0.0007284345678288	0.0003707935484649	-5.86502524182766e-05	-0.112911291129113	-0.936193619361936	0.838983898389839	0.82046682249442	0.0689682570618982	0.215072849628593	0.999997847787538	False			NEGATIVE_LOCAL_SHARING	local_rg_not_estimable
AMD-RE	1	15	13782197	14719847	522	0.99	0.0007284345678288	0.0						0.0689682570618982	0.215072849628593	0.999997847787538	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	15	13782197	14719847	522	0.99	0.0003707935484649	0.0						0.0689682570618982	0.215072849628593	0.999997847787538	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	16	14721450	15754484	547	0.99	5.67868853186106e-05	0.0						0.834922694726636	0.999999461946885	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-RE	1	16	14721450	15754484	547	0.99	5.67868853186106e-05	0.0						0.834922694726636	0.999999461946885	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
POAG-RE	1	16	14721450	15754484	547	0.99	0.0	0.0						0.834922694726636	0.999999461946885	0.999999461946885	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
AMD-POAG	1	17	15757044	16729700	370	0.99	4.19743249231703e-05	0.0						0.730763030008666	0.0	0.999999619538993	False			SIGNED_LOCAL_CORRELATION	local_rg_not_estimable
