trait_pair	chr	region	start	end	primary_local_rg	primary_p	noukbb_local_rg	noukbb_lower	noukbb_upper	noukbb_p	direction_stable	ci_overlap	magnitude_change	warning
"AMD-POAG"	9	29	21674147	23083305	-0.724372437243724	0.0012401597536204	-0.753175317531753	-0.975997599759976	-0.348134813481348	0.0008542816595181	TRUE	TRUE	-0.0288028802880291	""
"AMD-POAG"	2	61	53852235	54684557	-1	0.0031900341796899	-1	-1	-0.491349134913491	0.00525211837138677	TRUE	TRUE	0	""
"AMD-POAG"	3	63	71224429	72332608	-1	0.0072343514488585	-1	-1	-0.0941094109410941	0.0333230161055542	TRUE	TRUE	0	""
"AMD-POAG"	8	119	124001089	125450473	-1	0.0074948106456719	-1	-1	-0.252125212521252	0.0174642662556222	TRUE	TRUE	0	""
"AMD-POAG"	9	51	77877793	78630894	-0.802180218021802	0.007940242687462	-0.793779377937794	-1	-0.213721372137214	0.00952160488667911	TRUE	TRUE	0.0084008400840081	""
"AMD-POAG"	13	4	21547317	22794240	-0.571757175717572	0.0119077982126708	-0.595759575957596	-0.942794279427943	-0.119511951195119	0.0149685489521561	TRUE	TRUE	-0.0240024002400238	""
"AMD-POAG"	14	39	60100967	61652619	-0.792379237923792	0.0124332764656315	-0.769376937693769	-1	-0.147314731473147	0.0178867266969054	TRUE	TRUE	0.0230023002300226	""
"AMD-POAG"	7	106	116837610	118338267	-0.894189418941894	0.020630957833271	-0.85998599859986	-1	-0.0229022902290228	0.0445214353085022	TRUE	TRUE	0.0342034203420339	""
"AMD-POAG"	11	36	32830564	33905285	0.803580358035804	0.0303252469964389	0.893789378937894	0.162916291629163	1	0.0201306005220373	TRUE	TRUE	0.0902090209020897	""
"AMD-POAG"	9	100	128785910	129617253	-1	0.0349011270703187	-1	-1	-0.105110511051105	0.0358452529558843	TRUE	TRUE	0	""
"POAG-RE"	2	69	62430208	63669625	-1	0.278493630935711	-1	-1	1	0.278493630935711	TRUE	TRUE	0	""
"POAG-RE"	11	124	128266104	129447968	-0.432743274327433	0.382651869282232	-0.432743274327433	-1	0.518151815181518	0.382651869282232	TRUE	TRUE	2.77555756156289e-16	""
"POAG-RE"	10	73	78667191	79952934	-1	0.438118360560565	-1	-1	1	0.438118360560565	TRUE	TRUE	0	""
"POAG-RE"	4	34	31399060	32259530	1	0.502838692631256	1	-1	1	0.502838692631256	TRUE	TRUE	0	""
"POAG-RE"	3	73	82538109	83515994	0.294529452945294	0.841293003068171	0.294529452945294	-1	1	0.841293003068171	TRUE	TRUE	4.9960036108132e-16	""
"POAG-RE"	17	25	29783244	31318492	0.155115511551155	0.938330768478586	0.155115511551155	-1	1	0.938330768478586	TRUE	TRUE	1.38777878078145e-16	""
